id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
31735068212764,"Theatre program - Sharps and Flats with Stuart Robson and William H. Crane,",,,,,"October 23, 1880",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212772,"Theatre program - The Rivals with Joseph Jefferson,",,,,,"February 21, 1881",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212780,"Opera program - Three Pair of Shoes with Marie Geistinger,",,,,,"April 20, 1883",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212798,"Opera program - Boccaccio; or, The Prince of Palermo with Marie Geistinger,",,,,,"April 21, 1883",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212806,"Theatre program - Anselma with Madame Janish,",,,,,"October 19, 1885",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212855,"Theatre program - The Danites with McKee Rankin and Kitty Blanchard,",,,,,"January 9, 1878",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212863,"Opera program - Evangeline!,",,,,,"May 3, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212871,"Theatre program - Sarah's Young Man! and Comedy of Errors with Stuart Robson and William H. Crane,",,,,,"November 8, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212889,"Vaudeville program - Ingomar; The Rough Diamond; J. A. Hoffman; and the Baer Brothers benefit performance for Harry Ellsler,",,,,,"June 9, 1881",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212897,"Opera program - The Emma Abbott Grand Opera Company in Olivette,",,,,,"November 24, 1881",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212905,"Opera program - The Bat; or 14 Days with Marie Geistinger,",,,,,"April 19, 1883",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212913,"Opera program - The C.D. Hess Acme English Opera Co. in The Mascotte!,",,,,,"March 3, 1883",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212921,"Theatre program - The Merry Wives of Windsor with Stuart Robson and William H. Crane,",,,,,"September 27, 1886",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212970,"Opera Program - Mignon with C. L. Kellogg, Marie Roze, and A. L. Federico,",,,,,"January 29, 1878",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212988,"Opera program - Huguenots with Clara Kellogg,",,,,,"March 31, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212996,"Burlesque program - Haverly's United Mastodon Minstrels in Pea-Tea Bar-None's; Sam Devere; Harry Kennedy; etc.,",,,,,"November 25, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068213002,"Opera program - H.B. Mahn's English Comic Opera Company in Boccaccio,",,,,,"January 15, 1881",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068213010,"Theatre program - The World,",,,,,"October 2, 1882",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068213028,"Opera program - Mardi-Gras! with Marie Geistinger,",,,,,"April 17, 1883",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068213036,"Opera program - The C.D. Hess Acme English Opera Co. in Fra Diavolo!,",,,,,"March 3, 1883",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068213044,"Theatre program - Comedy of Errors with Stuart Robson and William H. Crane,",,,,,"April 5, 1886",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068220361,"Theatre program - Off the Record,",,,,,"October 10, 2001",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068222680,"Advertising - Family Jars!; Too Attentive by Half!; Naval Engagements!; and Loan of a Lover!,",,,,,"October 23, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068222698,"Theatre program - Pink Dominos! with Chas. F. Coghlan and Agnes Booth,",,,,,"October 19, 1877",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068222706,"Theatre program - Our American Cousin! with E.A. Sothern,",,,,,"April 29, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068222714,"Theatre program - Seven Guitars,",,,2016-08,2016-08-01T00:00:00,August 2016,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068223340,"Theatre program - Grand opening of the Benedum Center Purely Pittsburgh, Pilobolus Dance Theatre, Rosemary Clooney, Lionel Hampton, and George Benson with Nathan Davis and the Pittsburgh Jazz Orchestra,",,,,,"September 25, 1987",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068223746,"Opera program - Bohemian Girl! by the Gounod Club,",,,,,"December 17, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068223795,"Opera program - Il Trovatore with Clara Louise Kellogg and the Kellogg Grand English Opera,",,,,,"December 3, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068223803,"Advertising - Readings and Character Recitations!; and The Bruised Tragedian!,",,,1878,1878-01-01T00:00:00,1878,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068223811,"Burlesque program - Rentz-Santley Novelty & Burlesque Company; Manchester & Jennings; the Etzeltine Sisters; and Miss Minnie Farrell,",,,,,"October 3, 1881",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735069999450,"Theatre program - Henry VIII with Miss Augusta Dargon,",,,,,"November 1, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
ctc00001,Craig's Wife,,,1933-02,1933-02-01T00:00:00,February 1933,,still image,8x10 Gelatin Silver Print,,photograph,"Carl Swartz (as Walter Craig) and Dorothy Kaufman (as Mrs. Craig) are rehearsing a living room scene from Craig’s Wife, which was directed by Carl B. Cass. The play was presented by the Pitt Players and the University of Pittsburgh at the Young Men and Young Women’s Hebrew Association’s auditorium on February 16th, 1933. The Pitt Players were a student theatre club at the University of Pittsburgh that was active from 1916 to 1960. Several of the Pitt Players performances were staged at the Young Men and Young Women’s Hebrew Association’s auditorium before the construction of what would become their home, the Stephen Foster Memorial.","Swartz, Carl.|||Kaufman, Dorothy.|||Cass, Carl B.|||University of Pittsburgh. Pitt Players.|||College theater|||Pennsylvania|||Pittsburgh.|||Kelly, George, 1915-1998. Craig's wife.|||Oakland (Pittsburgh, Pa.).",,Oakland,Pitt Players Records,,,,University of Pittsburgh,collection.7|||collection.109|||collection.8|||collection.10
ctc00002,Theta Alpha Phi,,,1934/1935,1934-01-01T00:00:00,ca. 1934-1935,,still image,8x10 Gelatin Silver Print,,photograph,"Group photograph of members of the University of Pittsburgh's Pennsylvania Beta Chapter of Theta Alpha Phi, the national honorary fraternity for theatre arts. The same photo was used in the 1936 edition of the University of Pittsburgh’s yearbook, The Owl. Front row: Joseph W. Madden, Carolyn A. Hall, Jack S. Robson, Louise McKirdy, Carl B. Cass. Back row: John Garrow, Alfred J. Berkowitz, John W. Britton, Charles W. Foreman, Howard A. Schweppe, Richard Lewis, Forrest Alter,","Theta Alpha Phi. Pennsylvania Beta Chapter (University of Pittsburgh).|||College theater|||Pennsylvania|||Pittsburgh.|||University of Pittsburgh. Pitt Players.|||Oakland (Pittsburgh, Pa.).",,Oakland,Pitt Players Records,,,,University of Pittsburgh,collection.7|||collection.109|||collection.8|||collection.10
ctc00003,Pitt Players,,,1935/1936,1935-01-01T00:00:00,ca. 1935-1936,,still image,8x10 Gelatin Silver Print,,photograph,"Group photograph of the Pitt Players during their 1935-1936 season. The same photo was used in the 1936 edition of the University of Pittsburgh’s yearbook, The Owl. The Pitt Players were a student theatre club at the University of Pittsburgh that was active from 1916 to 1960.","College theater|||Pennsylvania|||Pittsburgh.|||University of Pittsburgh. Pitt Players.|||Oakland (Pittsburgh, Pa.).",,Oakland,Pitt Players Records,,,,University of Pittsburgh,collection.7|||collection.109|||collection.8|||collection.10
ctc00004,Ceiling Zero,,,1938/1939,1938-01-01T00:00:00,ca. 1938-1939,,still image,5x7 Gelatin Silver Print,,photograph,"Lorene Kessler (as Mary Lee) rehearsing a scene from Ceiling Zero, which was directed by Buell Whitehill. Whitehill was director of many Pitt Players theatre productions during the 1930s and 1940s. The play was presented by the Pitt Players and the University of Pittsburgh at the Stephen Foster Memorial during the 1938-1939 season. The Pitt Players were a student theatre club at the University of Pittsburgh that was active from 1916 to 1960.","Kessler, Lorene.|||Whitehill, Buell B., Jr.|||University of Pittsburgh. Pitt Players.|||College theater|||Pennsylvania|||Pittsburgh.|||Wead, Frank W. (Frank Wilber), 1895-1947. Ceiling zero.|||Oakland (Pittsburgh, Pa.).",,Oakland,Pitt Players Records,,,,University of Pittsburgh,collection.7|||collection.109|||collection.8|||collection.10
